H|182789|26-DEC-2017|1243401|DT|P|F
P|R|26-DEC-2017|2|8|PQDA|-3
P|R|26-DEC-2017|2|8|PQDZ|-3
P|R|26-DEC-2017|2|8|PQHA|-3
P|R|26-DEC-2017|2|8|PQHZ|-3
P|R|26-DEC-2017|2|8|PQPC|-3
P|R|26-DEC-2017|2|8|PQQC|-3
P|R|26-DEC-2017|2|8|PQSK|-3
P|R|26-DEC-2017|2|8|PQXY|-3
P|R|26-DEC-2017|2|9|MBSI|15
P|R|26-DEC-2017|2|9|MISI|22.02
P|R|26-DEC-2017|2|9|MNSI|10
P|R|26-DEC-2017|2|9|NYSI|-3
P|R|26-DEC-2017|2|9|ONZN|-3
P|R|26-DEC-2017|2|9|PQAT|-3
P|R|26-DEC-2017|2|9|PQBE|-3
P|R|26-DEC-2017|2|9|PQDA|-3
P|R|26-DEC-2017|2|9|PQDZ|-3
P|R|26-DEC-2017|2|9|PQHA|-3
P|R|26-DEC-2017|2|9|PQHZ|-3
P|R|26-DEC-2017|2|9|PQPC|-3
P|R|26-DEC-2017|2|9|PQQC|-3
P|R|26-DEC-2017|2|9|PQSK|-3
P|R|26-DEC-2017|2|9|PQXY|-3
P|R|26-DEC-2017|2|10|MBSI|15
P|R|26-DEC-2017|2|10|MISI|22.02
P|R|26-DEC-2017|2|10|MNSI|10
P|R|26-DEC-2017|2|10|NYSI|-3
P|R|26-DEC-2017|2|10|ONZN|-3
P|R|26-DEC-2017|2|10|PQAT|-3
P|R|26-DEC-2017|2|10|PQBE|-3
P|R|26-DEC-2017|2|10|PQDA|-3
P|R|26-DEC-2017|2|10|PQDZ|-3
P|R|26-DEC-2017|2|10|PQHA|-3
P|R|26-DEC-2017|2|10|PQHZ|-3
P|R|26-DEC-2017|2|10|PQPC|-3
P|R|26-DEC-2017|2|10|PQQC|-3
P|R|26-DEC-2017|2|10|PQSK|-3
P|R|26-DEC-2017|2|10|PQXY|-3
P|R|26-DEC-2017|2|11|MBSI|15
P|R|26-DEC-2017|2|11|MISI|22.02
P|R|26-DEC-2017|2|11|MNSI|10
P|R|26-DEC-2017|2|11|NYSI|-3
