H|182789|27-SEP-2017|1220238|DT|P|F
P|R|27-SEP-2017|3|9|PQPC|0
P|R|27-SEP-2017|3|9|PQQC|0
P|R|27-SEP-2017|3|9|PQSK|0
P|R|27-SEP-2017|3|9|PQXY|0
P|R|27-SEP-2017|3|10|MBSI|0
P|R|27-SEP-2017|3|10|MISI|6.59
P|R|27-SEP-2017|3|10|MNSI|0
P|R|27-SEP-2017|3|10|NYSI|0
P|R|27-SEP-2017|3|10|ONZN|0
P|R|27-SEP-2017|3|10|PQAT|-.75
P|R|27-SEP-2017|3|10|PQBE|0
P|R|27-SEP-2017|3|10|PQDA|0
P|R|27-SEP-2017|3|10|PQDZ|0
P|R|27-SEP-2017|3|10|PQHA|0
P|R|27-SEP-2017|3|10|PQHZ|0
P|R|27-SEP-2017|3|10|PQPC|0
P|R|27-SEP-2017|3|10|PQQC|0
P|R|27-SEP-2017|3|10|PQSK|0
P|R|27-SEP-2017|3|10|PQXY|0
P|R|27-SEP-2017|3|11|MBSI|0
P|R|27-SEP-2017|3|11|MISI|6.59
P|R|27-SEP-2017|3|11|MNSI|0
P|R|27-SEP-2017|3|11|NYSI|0
P|R|27-SEP-2017|3|11|ONZN|0
P|R|27-SEP-2017|3|11|PQAT|-.75
P|R|27-SEP-2017|3|11|PQBE|0
P|R|27-SEP-2017|3|11|PQDA|0
P|R|27-SEP-2017|3|11|PQDZ|0
P|R|27-SEP-2017|3|11|PQHA|0
P|R|27-SEP-2017|3|11|PQHZ|0
P|R|27-SEP-2017|3|11|PQPC|0
P|R|27-SEP-2017|3|11|PQQC|0
P|R|27-SEP-2017|3|11|PQSK|0
P|R|27-SEP-2017|3|11|PQXY|0
P|R|27-SEP-2017|3|12|MBSI|0
P|R|27-SEP-2017|3|12|MISI|6.59
P|R|27-SEP-2017|3|12|MNSI|0
P|R|27-SEP-2017|3|12|NYSI|0
P|R|27-SEP-2017|3|12|ONZN|0
P|R|27-SEP-2017|3|12|PQAT|-.75
P|R|27-SEP-2017|3|12|PQBE|0
P|R|27-SEP-2017|3|12|PQDA|0
P|R|27-SEP-2017|3|12|PQDZ|0
P|R|27-SEP-2017|3|12|PQHA|0
P|R|27-SEP-2017|3|12|PQHZ|0
P|R|27-SEP-2017|3|12|PQPC|0
P|R|27-SEP-2017|3|12|PQQC|0
