H|182789|04-JUL-2017|1198552|DT|P|F
P|R|04-JUL-2017|3|2|PQBE|-4.5
P|R|04-JUL-2017|3|2|PQDA|-4.5
P|R|04-JUL-2017|3|2|PQDZ|-4.5
P|R|04-JUL-2017|3|2|PQHA|-4.5
P|R|04-JUL-2017|3|2|PQHZ|-4.5
P|R|04-JUL-2017|3|2|PQPC|-4.5
P|R|04-JUL-2017|3|2|PQQC|-4.5
P|R|04-JUL-2017|3|2|PQSK|-4.5
P|R|04-JUL-2017|3|2|PQXY|-4.5
P|R|04-JUL-2017|3|3|MBSI|-4.5
P|R|04-JUL-2017|3|3|MISI|22.22
P|R|04-JUL-2017|3|3|MNSI|16
P|R|04-JUL-2017|3|3|NYSI|5.09
P|R|04-JUL-2017|3|3|ONZN|-4.5
P|R|04-JUL-2017|3|3|PQAT|-4.5
P|R|04-JUL-2017|3|3|PQBE|-4.5
P|R|04-JUL-2017|3|3|PQDA|-4.5
P|R|04-JUL-2017|3|3|PQDZ|-4.5
P|R|04-JUL-2017|3|3|PQHA|-4.5
P|R|04-JUL-2017|3|3|PQHZ|-4.5
P|R|04-JUL-2017|3|3|PQPC|-4.5
P|R|04-JUL-2017|3|3|PQQC|-4.5
P|R|04-JUL-2017|3|3|PQSK|-4.5
P|R|04-JUL-2017|3|3|PQXY|-4.5
P|R|04-JUL-2017|3|4|MBSI|-4.5
P|R|04-JUL-2017|3|4|MISI|22.22
P|R|04-JUL-2017|3|4|MNSI|16
P|R|04-JUL-2017|3|4|NYSI|5.09
P|R|04-JUL-2017|3|4|ONZN|-4.5
P|R|04-JUL-2017|3|4|PQAT|-4.5
P|R|04-JUL-2017|3|4|PQBE|-4.5
P|R|04-JUL-2017|3|4|PQDA|-4.5
P|R|04-JUL-2017|3|4|PQDZ|-4.5
P|R|04-JUL-2017|3|4|PQHA|-4.5
P|R|04-JUL-2017|3|4|PQHZ|-4.5
P|R|04-JUL-2017|3|4|PQPC|-4.5
P|R|04-JUL-2017|3|4|PQQC|-4.5
P|R|04-JUL-2017|3|4|PQSK|-4.5
P|R|04-JUL-2017|3|4|PQXY|-4.5
P|R|04-JUL-2017|3|5|MBSI|-4.7
P|R|04-JUL-2017|3|5|MISI|22.02
P|R|04-JUL-2017|3|5|MNSI|15.8
P|R|04-JUL-2017|3|5|NYSI|4.89
P|R|04-JUL-2017|3|5|ONZN|-4.7
P|R|04-JUL-2017|3|5|PQAT|-4.7
P|R|04-JUL-2017|3|5|PQBE|-4.7
P|R|04-JUL-2017|3|5|PQDA|-4.7
P|R|04-JUL-2017|3|5|PQDZ|-4.7
P|R|04-JUL-2017|3|5|PQHA|-4.7
P|R|04-JUL-2017|3|5|PQHZ|-4.7
P|R|04-JUL-2017|3|5|PQPC|-4.7
P|R|04-JUL-2017|3|5|PQQC|-4.7
P|R|04-JUL-2017|3|5|PQSK|-4.7
P|R|04-JUL-2017|3|5|PQXY|-4.7
P|R|04-JUL-2017|3|6|MBSI|-4.5
P|R|04-JUL-2017|3|6|MISI|22.22
P|R|04-JUL-2017|3|6|MNSI|16
P|R|04-JUL-2017|3|6|NYSI|5.09
P|R|04-JUL-2017|3|6|ONZN|-4.5
P|R|04-JUL-2017|3|6|PQAT|-4.5
P|R|04-JUL-2017|3|6|PQBE|-4.5
P|R|04-JUL-2017|3|6|PQDA|-4.5
P|R|04-JUL-2017|3|6|PQDZ|-4.5
P|R|04-JUL-2017|3|6|PQHA|-4.5
P|R|04-JUL-2017|3|6|PQHZ|-4.5
P|R|04-JUL-2017|3|6|PQPC|-4.5
P|R|04-JUL-2017|3|6|PQQC|-4.5
P|R|04-JUL-2017|3|6|PQSK|-4.5
P|R|04-JUL-2017|3|6|PQXY|-4.5
P|R|04-JUL-2017|3|7|MBSI|-4.7
P|R|04-JUL-2017|3|7|MISI|22.02
P|R|04-JUL-2017|3|7|MNSI|15.8
P|R|04-JUL-2017|3|7|NYSI|4.89
P|R|04-JUL-2017|3|7|ONZN|-4.7
